BUG_ID;PACKAGE_NAME
669455;src:blobwars
669461;src:shelltestrunner
669462;src:django-floppyforms
669466;src:pynn
669468;src:saga
669469;src:zeitgeist-sharp
669470;src:gnome-utils
669473;src:django-celery
669474;src:buildbot
669476;src:libapache-mod-auth-radius
669479;src:ppl
669480;wdg-html-validator
669481;src:python-django-threadedcomments
669482;src:django-openid-auth
669485;src:glade-3
669486;src:django-auth-ldap
669488;src:python-django-voting
669494;src:subversion
669500;src:pcsxr
669501;src:linphone
669503;src:libapache2-mod-lisp
669504;src:sdl-image1.2
669505;src:tuxfootball
669536;src:enigma
669510;src:giggle
669513;src:gnat-4.4
669517;src:graphviz
669518;src:btanks
669519;src:luola
669520;src:alure
669522;src:coinor-cbc
669525;src:bumprace
669526;src:dozzaqueux
669530;src:dsc-statistics
669534;src:briquolo
669539;src:alt-ergo
669542;src:bomberclone
669543;src:geeqie
669546;src:jing-trang
669549;src:matplotlib
669553;src:criticalmass
669555;src:coreutils
669556;src:c3p0
669557;src:ocropus
669559;src:xserver-xorg-video-mach64
669560;src:xfonts-kaname
669561;src:xfonts-ayu
669571;libsdl-image1.2-dev
669587;latex-xcolor
669603;chaksem
669604;kbdcontrol
669718;gnome-dvb-client
669878;phonon-backend-vlc
669918;kmail
669970;live-f1
670085;sysv-rc
670111;libreadline-gplv2-dev
670113;libflowcanvas-dev
670122;libsdl1.2-dev
670167;bzr-explorer
670217;pyside-mobility
670221;plptools
670228;rubygems
670292;xemacs21-gnome-mule,xemacs21-gnome-nomule,xemacs21-gnome-mule-canna-wnn
670403;src:aptitude
670405;ekiga
670422;libstarpu-dev
670428;munin-plugins-extra
670438;mysql-server-5.1
670460;audacity
670481;coreutils
670483;pianobar
670570;xserver-xorg-video-radeon
670578;gcc-4.6
670595;sssd
670633;src:mod-proxy-html
670636;mysql-5.1
670637;nova
670643;libapache2-mod-proxy-html
670671;src:ini4j
670676;pithos
670733;src:ocaml-cry
670776;dansguardian
670893;libedit-dev,prerex
670894;libupnp6-doc,libupnp3-dev
670901;libspring-security-2.0-java
670918;krb5
